dt_clms or grp,dt_clms_id,lvl,Cls1,Cls2,Cls3,Cls4,grp_data,parent1_nm,parent2_nm,parent3_nm,parent4_nm,Input_typ_freq,dt_clms_nm,50573,50574,50575
lifestyle,.1.0grp,2,.1,.0,,,grp,focus,_,,,,lifestyle,,,
balance_grp,.1.1.0grp,3,.1,.1,.0,,grp,focus,lfstyl,_,,,balance_grp,,,
rstrnt_grp,.1.1.2.0grp,4,.1,.1,.2,.0,grp,focus,lfstyl,balance,rstrnt_grp,rndm,rstrnt_grp,,,
rstrnt,.1.1.2.1data,4,.1,.1,.2,.1,data,focus,lfstyl,balance,rstrnt_grp,rndm,rstrnt,,,
rstrnt,.1.1.2.1data,4,.1,.1,.2,.1,data,focus,lfstyl,balance,rstrnt_grp,rndm,rstrnt,,,
trvl_day_grp,.1.1.3.0grp,4,.1,.1,.3,.0,grp,focus,lfstyl,balance,trvl_day_grp,,trvl_day_grp,,,
mlti_day trvl,.1.1.3data,3,.1,.1,.3,,data,focus,lfstyl,balance,rstrnt_grp,rndm,mlti_day trvl,,,
accident_grp,.1.1.4.0grp,4,.1,.1,.4,.0,grp,focus,lfstyl,balance,accident_grp,,accident_grp,,,
fell,.1.1.4data,3,.1,.1,.4,,data,focus,lfstyl,balance,accident_grp,rndm,fell,,,
party_grp,.1.1.5.0grp,4,.1,.1,.5,.0,grp,focus,lfstyl,balance,party_grp,,party_grp,,,
fmly_prty,.1.1.5data,3,.1,.1,.5,,data,focus,lfstyl,balance,rstrnt_grp,rndm,fmly_prty,,,
ovr_eat,.1.1.5data,3,.1,.1,.5,,data,focus,lfstyl,balance,rstrnt_grp,rndm,ovr_eat,,,
rstrnt_fmly,.1.1.6.3data,4,.1,.1,.6,.3,data,focus,lfstyl,food,rstrnt_grp,rndm,rstrnt_fmly,,,
motion_grp,.1.2.0grp,3,.1,.2,.0,,grp,focus,lfstyl,_,,,motion_grp,,,
cardio_grp,.1.2.1.0grp,4,.1,.2,.1,.0,grp,focus,lfstyl,motion,_,,cardio_grp,,,
tirke_hr,.1.2.1.1data,4,.1,.2,.1,.1,data,focus,lfstyl,motion,tirke_grp,mnl_dly,tirke_hr,,,
walk  stps,.1.2.2.3data,4,.1,.2,.2,.3,data,focus,lfstyl,motion,walk_grp,mnl_dly,walk  stps,,,
workout_grp,.1.2.3.0grp,4,.1,.2,.3,.0,grp,focus,lfstyl,motion,_,,workout_grp,,,
