Date,Time,SpO2 (%),PR (BPM),PAI (%)
7/26/2025,23:43:36,96,47,0.97
7/26/2025,23:43:37,96,48,0.99
7/26/2025,23:43:38,96,46,0.98
7/26/2025,23:43:39,95,44,0.97
7/26/2025,23:43:40,95,44,0.96
7/26/2025,23:43:41,95,43,0.96
7/26/2025,23:43:42,95,42,0.95
7/26/2025,23:43:43,95,42,0.97
7/26/2025,23:43:44,94,42,0.96
7/26/2025,23:43:45,94,41,0.95
7/26/2025,23:43:46,94,41,0.97
7/26/2025,23:43:47,94,41,1.09
7/26/2025,23:43:48,94,41,1.15
7/26/2025,23:43:49,94,41,1.07
7/26/2025,23:43:50,94,41,0.99
7/26/2025,23:43:51,94,40,0.96
7/26/2025,23:43:52,94,40,0.98
7/26/2025,23:43:53,95,41,0.99
7/26/2025,23:43:54,95,40,0.99
7/26/2025,23:43:55,95,40,0.99
7/26/2025,23:43:56,95,40,0.99
7/26/2025,23:43:57,95,40,1.02
7/26/2025,23:43:58,95,40,1.04
7/26/2025,23:43:59,96,40,1.05
7/26/2025,23:44:00,96,40,0.94
7/26/2025,23:44:01,96,40,0.95
7/26/2025,23:44:02,96,40,0.88
7/26/2025,23:44:03,96,40,0.83
7/26/2025,23:44:04,96,40,0.83
7/26/2025,23:44:05,96,40,0.83
7/26/2025,23:44:06,96,40,0.83
7/26/2025,23:44:07,96,40,0.88
7/26/2025,23:44:08,96,40,0.88
7/26/2025,23:44:09,96,41,0.88
7/26/2025,23:44:10,96,41,0.92
7/26/2025,23:44:11,96,41,0.94
7/26/2025,23:44:12,96,43,0.93
7/26/2025,23:44:13,96,45,0.93
7/26/2025,23:44:14,96,45,0.97
7/26/2025,23:44:15,96,47,1.02
7/26/2025,23:44:16,96,47,1.02
7/26/2025,23:44:17,96,47,1.02
7/26/2025,23:44:18,96,49,1.04
7/26/2025,23:44:19,96,49,1.02
7/26/2025,23:44:20,96,49,1.01
7/26/2025,23:44:21,96,46,0.98
7/26/2025,23:44:22,96,44,0.94
7/26/2025,23:44:23,96,43,0.94
7/26/2025,23:44:24,96,43,0.88
7/26/2025,23:44:25,96,43,0.89
7/26/2025,23:44:26,96,42,0.91
7/26/2025,23:44:27,96,42,0.93
7/26/2025,23:44:28,97,43,1
7/26/2025,23:44:29,97,42,0.97
7/26/2025,23:44:30,97,42,0.95
7/26/2025,23:44:31,97,42,0.98
7/26/2025,23:44:32,96,42,0.97
7/26/2025,23:44:33,96,42,0.91
7/26/2025,23:44:34,96,41,0.98
7/26/2025,23:44:35,96,42,1.05
7/26/2025,23:44:36,96,42,1.05
7/26/2025,23:44:37,96,43,1.06
7/26/2025,23:44:38,97,46,1
7/26/2025,23:44:39,97,46,0.96
7/26/2025,23:44:40,97,46,1
7/26/2025,23:44:41,97,45,1.01
7/26/2025,23:44:42,97,45,1
7/26/2025,23:44:43,97,44,0.99
7/26/2025,23:44:44,97,43,1.01
7/26/2025,23:44:45,96,43,1.03
7/26/2025,23:44:46,96,43,1.01
7/26/2025,23:44:47,96,42,0.97
7/26/2025,23:44:48,96,41,0.95
7/26/2025,23:44:49,96,41,1.01
7/26/2025,23:44:50,96,41,1.01
7/26/2025,23:44:51,96,41,1
7/26/2025,23:44:52,96,41,1
7/26/2025,23:44:53,96,41,0.99
7/26/2025,23:44:54,96,41,1.04
7/26/2025,23:44:55,96,41,1.08
7/26/2025,23:44:56,96,40,1.07
7/26/2025,23:44:57,96,40,1.06
7/26/2025,23:44:58,96,40,1.06
7/26/2025,23:44:59,96,42,1.08
7/26/2025,23:45:00,96,41,1.09
7/26/2025,23:45:01,96,41,1.03
